"link","title","depth","statusCode"
"https://medium.com/tag/pittsburgh?source=post",,2,200
"https://medium.com/tag/racism?source=post",,2,200
"https://medium.com/tag/inequality?source=post",,2,200
"https://medium.com/@cl_christensen?source=footer_card","Go to the profile of Caitlyn Luce Christensen",2,200
"http://twitter.com/cl_christensen","Twitter profile for @cl_christensen",2,301
"https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2F%40cl_christensen%3Fsource%3Dreading_list---------2-3--------",,2,200
"https://medium.com/@cl_christensen/following","Show 122 people following",2,200
"https://medium.com/@cl_christensen/followers","Show 166 followers",2,200
"https://twitter.com/cl_christensen","Twitter",2,200
"https://facebook.com/10202042881664715","Facebook",2,301
"https://medium.com/@cl_christensen/latest",,2,200
"https://medium.com/@cl_christensen/has-recommended",,2,200
"https://medium.com/@cl_christensen?source=user_profile---------1---------",,2,200
"https://medium.com/@cl_christensen/we-cant-afford-east-liberty-anymore-c0dc10fb8538?source=user_profile---------1---------",,2,200
"https://medium.com/@cl_christensen/we-cant-afford-east-liberty-anymore-c0dc10fb8538?source=user_profile---------1---------#--responses",,2,200
"https://medium.com/@cl_christensen?source=user_profile---------3---------",,2,200
"https://medium.com/@cl_christensen/commentary-on-the-development-at-penn-plaza-21494a2c079a?source=user_profile---------3---------",,2,200
"https://medium.com/@cl_christensen?source=user_profile---------4---------",,2,200
"https://medium.com/@cl_christensen/donald-trump-knows-tabloids-matter-and-so-should-we-2f8c2ad7d1da?source=user_profile---------4---------",,2,200
"https://medium.com/@cl_christensen/donald-trump-knows-tabloids-matter-and-so-should-we-2f8c2ad7d1da?source=user_profile---------4---------#--responses",,2,200
"https://medium.com/@cl_christensen?source=user_profile---------5---------",,2,200
"https://medium.com/human-parts?source=user_profile---------5---------",,2,200
"https://medium.com/human-parts/early-maps-bb37e5d06fe1?source=user_profile---------5---------",,2,200
"https://medium.com/human-parts/early-maps-bb37e5d06fe1?source=user_profile---------5---------#--responses",,2,200
"https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2F%40cl_christensen",,2,200
"https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2F%40KevinAllred",,2,200
"http://www.kevin-allred.com",,2,200
"https://medium.com/@KevinAllred/following","Show 208 people following",2,200
"https://medium.com/@KevinAllred/followers","Show 1,070 followers",2,200
"https://twitter.com/KevinAllred","Twitter",2,200
"https://medium.com/@KevinAllred/latest",,2,200
"https://medium.com/@KevinAllred?source=user_profile---------1---------",,2,200
"https://medium.com/@KevinAllred/bills-bills-bills-pt-7-a0e34b59a6a?source=user_profile---------1---------",,2,200
"https://medium.com/@KevinAllred?source=user_profile---------2---------",,2,200
"https://medium.com/@KevinAllred/ongoing-investigation-pt-6-70bf4eb37320?source=user_profile---------2---------",,2,200
"https://medium.com/@KevinAllred?source=user_profile---------3---------",,2,200
